REF_DATE1,REF_DATE2,DGUID1,DGUID3,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_nan,DGUID2_A,DGUID2_nan,UOM1_Number,UOM1_nan,UOM_ID_units,UOM_ID_nan,clazz
2007,2008,2016,247,223,0,66462642,9,5586,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
2008,2009,2016,259,223,0,66462644,11,29478,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,11124,223,0,66462634,1,47412,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,246,223,0,66462641,8,1248,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,213,223,0,66462638,5,195,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,210,223,0,66462635,2,609,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,261,223,0,66462646,13,3666,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,235,223,0,66462640,7,4920,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,224,223,0,66462639,6,1842,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2008,2009,2016,247,223,0,66462642,9,5451,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0
