REF_DATE1,REF_DATE2,DGUID1,DGUID3,UOM2,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE1,COORDINATE2,COORDINATE3,COORDINATE4,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GEO_Alberta,GEO_British Columbia,GEO_Canada,GEO_Manitoba,GEO_New Brunswick,GEO_Newfoundland and Labrador,GEO_Northwest Territories,GEO_Nova Scotia,GEO_Nunavut,GEO_Ontario,GEO_Prince Edward Island,GEO_Quebec,GEO_Saskatchewan,GEO_Yukon,GEO_nan,DGUID2_A,DGUID2_nan,Program type_Aboriginal language immersion programs,Program type_Regular Aboriginal language programs,Program type_nan,UOM1_Number,UOM1_nan,UOM_ID_units,UOM_ID_nan,clazz
2016,2017,2016,212,223,0,1073543527,4.1,360,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2016,2017,2016,262,223,0,1077009294,14.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2016,2017,2016,262,223,0,1077009293,14.1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2016,2017,2016,235,223,0,1077009287,7.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2016,2017,2016,235,223,0,1001753144,7.1,8112,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2016,2017,2016,211,223,0,1077009283,3.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2016,2017,2016,211,223,0,1001753141,3.1,18,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2016,2017,2016,224,223,0,1001753143,6.2,6936,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2016,2017,2016,224,223,0,1077009286,6.1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2016,2017,2016,247,223,0,1001753147,9.2,774,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.0
2016,2017,2016,247,223,0,1001753146,9.1,4011,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.0
2016,2017,2016,260,223,0,1077009292,12.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.0
2016,2017,2016,260,223,0,1001753149,12.1,1629,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,248,223,0,1077009290,10.2,-1,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,248,223,0,1077009289,10.1,-1,0,0,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,259,223,0,1077009291,11.2,-1,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,259,223,0,1001753148,11.1,36033,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,11124,223,0,1001753138,1.2,8019,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,11124,223,0,1001753137,1.1,56412,0,0,0,0,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,246,223,0,1077009288,8.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,246,223,0,1001753145,8.1,1527,0,0,0,0,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,213,223,0,1077009285,5.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,213,223,0,1001753142,5.1,198,0,0,0,0,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,210,223,0,1001753140,2.2,27,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,210,223,0,1001753139,2.1,597,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,261,223,0,1001753150,13.2,153,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,261,223,0,1073543528,13.1,2949,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,212,223,0,1077009284,4.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,212,223,0,1073543527,4.1,330,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,262,223,0,1077009294,14.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,262,223,0,1077009293,14.1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,235,223,0,1077009287,7.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,235,223,0,1001753144,7.1,8880,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,211,223,0,1077009283,3.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,211,223,0,1001753141,3.1,21,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,224,223,0,1001753143,6.2,7005,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,224,223,0,1077009286,6.1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,247,223,0,1001753147,9.2,834,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,247,223,0,1001753146,9.1,4041,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.0
2017,2018,2016,260,223,0,1077009292,12.2,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.0
2017,2018,2016,260,223,0,1001753149,12.1,1836,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0.0
